name,address,postcode,state,city,phone,email,principal_name,latitude,longitude
TADIKA & TASKA ANAK SAYANG,"LOT, 2597, Jalan Jabar, Meru, 41050 Klang, Selangor",41050,Selangor,Klang,+60 11-2126 7420,tadikaanaksayang@gmail.com,,3.121008,101.4275016
Tadika Tunas Bestari Bandar Hillpark,"No.81, Jalan Mapel 7/9 Bandar Hillpark, 42300 Puncak Alam, Selangor",42300,Selangor,Puncak Alam,+60 19-678 0458,info@tunasbestari.edu.my,,3.2091758,101.4673614
HEY Preschool Kids 幼儿园 Cheras Youcity III,"L1-01A, YOU 3, Jalan You City, Jalan Persiaran You City, 43200 Cheras, Selangor",43200,Selangor,Cheras,+60 11-6953 6785,heycustomerservice2023@gmail.com,,3.0738188,101.7621382
Brilliant Star Preschool(Taman Mas/ Taman Putra Prima),"5-GF, Block L, Jalan Dagang Mas 3, Taman Mas Sepang, 47130 Puchong, Selangor",47130,Selangor,Puchong,+60 17-352 1154,brilliantstartbsc@gmail.com,,2.9755467,101.5816838
Baby Bee Childcare Centre,"Perdana Exclusive Condo, Unit DG01 & DG02, 15, Jalan PJU 8/1, Bandar Damansara Perdana, 47820 Petaling Jaya, Selangor",47820,Selangor,Petaling Jaya,+60 18-574 9332,info@pjbee.com,,3.1683055,101.605497
Tadika Seri Ceria 好儿童幼儿园,"254-3, JALAN 2/48B, TAMAN SENTUL JAYA, Sentul Pasar, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",51100,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 12-332 3048,,,3.1941326,101.691682
Anugerah Bestari Child Enrichment Center,"2, Jalan Pahlawan 11/3, Bandar Mahkota Cheras, 43200 Cheras, Selangor",43200,Selangor,Cheras,+60 19-267 0868,info@mels.hk,,3.0622782,101.7889725
Taska Sinaran Kasih(Swasta),"33, Jalan SS 19/1, Ss 19, 47500 Subang Jaya, Selangor",47500,Selangor,Subang Jaya,+60 3-5621 8020,,,3.0754916,101.5741667
"Genius Aulad Bandar Tun Hussein Onn, Cheras","2B & 4B, Jalan Suarasa 8/4, Tun Hussein Onn, 43200 Cheras, Selangor",43200,Selangor,Cheras,+60 19-385 7778,thoriq@synchronet.com.my,,3.0459887,101.7596461
Yen Educational Training Centre,"Kuala Lumpur MY, 1, Jalan Udang Pasir 1, Taman Megah, 52100 Kepong, Wilayah Persekutuan",52100,Wilayah Persekutuan,Kepong,+60 16-279 1902,,,3.1958636,101.6502101
Little Pearls Nursery Cyberjaya and Little Pearls Child Care Center,"Parking lot, Galleria, Jalan Teknokrat 6, Cyber 5, 63000 Cyberjaya, Selangor",63000,Selangor,Cyberjaya,+60 11-2255 2200,infomy@littlepearlsnursery.com,,2.9202056,101.6560647
COZO 开心乐园 Fun Learning Garden,"30A, 30B, 30C, Jalan Alam Jaya 15 Taman Alam Jaya, Pekan Batu 9 Cheras, 43200 Cheras, Selangor",43200,Selangor,Cheras,+60 11-1113 1149,cozogroup@gmail.com,,3.0806336,101.7651337
Little Caliphs Taman Desa Meru,"1A, Jalan Pisang 7/KU10, 42200 Kapar, Selangor",42200,Selangor,Kapar,+60 10-401 0117,,,3.1456153,101.4376634
Smart Reader Kids Putra Point Nilai,"2B, PT 12156, Jalan BBN 1/1f, Putra Point, 71800 Bandar Baru Nilai, Negeri Sembilan",71800,Negeri Sembilan,Bandar Baru Nilai,+60 19-239 4047,,,2.8148911,101.7974127
Tadika Khalifah Insaniah (KICDC) Melur,"1, Jalan Melur 14, Taman Melur, 68000 Ampang, Selangor",68000,Selangor,Ampang Jaya,+60 19-280 7546,,,3.120151,101.7712233
LITTLE ARROWS CHILD CARE CENTRE,"N0, 43-G, Jalan Kemuning Prima A33/A, Kemuning Utama, 40400 Shah Alam, Selangor",40400,Selangor,Shah Alam,+60 16-556 1160,,,3.0192489,101.5349092
Sinar Kejora Playschool,"33, Jalan Kesuma 4c, Bandar Tasik Kesuma, 43700 Beranang, Selangor",43700,Selangor,Beranang,+60 11-3909 1154,,,2.9131027,101.8674764
Little Caliphs Genting Klang,"8-1, Jalan 2/23a, Jalan Genting Klang, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",53300,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 16-249 9485,account@aslgroup.com.my,,3.202869,101.721755
Tadika Rakan,"2, Jalan Rakan 11, Batu 11, Jalan Cheras, Taman Rakan, 43200 Kajang, Selangor",43200,Selangor,Kajang,+60 17-341 5136,,,3.0327257,101.7838471
"Tabika KEMAS Desa Cempaka 1,2 Nilai","1, Jalan Cempaka 33, Taman Seri Cempaka 3, 71800 Nilai, Negeri Sembilan",71800,Negeri Sembilan,Nilai,+60 18-224 3546,,,2.7930262,101.7577538
Tadika Montessori Daffodils,"2, Jalan Kiara SD 11/3f, Bandar Sri Damansara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",52200,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 12-296 5375,enquiries@montessoridaffodils.com,,3.191158,101.608227
TASKA SAHABAT COMEL,"481, Jalan E 10, Taman Melawati, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",53100,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 11-1083 8931,,,3.2261623,101.7443117
HANKidz Leadership Preschool Setia Alam,"4, Jalan Setia Impian U13/8d, Setia Alam, 40170 Shah Alam, Selangor",40170,Selangor,Shah Alam,+60 18-399 4382,talktome@hankidz.com,,3.1038699,101.4547804
Little Abd Telok Panglima Garang,"No 1, Jalan Bangau 3/22 Batu 9 Kebun Baru, Taman Bentara, 42500 Telok Panglima Garang, Selangor",42500,Selangor,Telok Panglima Garang,+60 14-920 8698,,,2.9299799,101.5012864
Pra Sekolah Islam Integrasi Tahfiz As Syakirin Alam Damai,"No. 10, 1, Jln Damai Raya 2, Alam Damai, 56100 Cheras, Federal Territory of Kuala Lumpur",56100,Federal Territory of Kuala Lumpur,Cheras,+60 3-9102 1591,admin@assyakirin.com.my,,3.0615412,101.7441146
Ez Extra Edu,"No. 18, Jalan Puan Off Jalan Uda, Kampung Baru, Wilayah Persekutuan, 50300 Kuala Lumpur",50300,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 12-353 2115,,,3.165476,101.708945
EWC Preschool Bandar Utama,"F02, FIRST FLOOR,BU4, OASIS COMPLEX, NO 1, Jalan Changkat, Bandar Utama, 47800 Petaling Jaya, Selangor",47800,Selangor,Petaling Jaya,+60 12-315 5887,,,3.1506681,101.6105026
Kinderland Puchong Utama (Tadika Genius Cemerlang),"1, Jalan PU 1/11A, Taman Puchong Utama, 47140 Puchong, Selangor",47140,Selangor,Puchong,+60 12-315 9291,kinderland_ote@yahoo.com,,3.0003252,101.618262
Tadika Cilik Comel,"No. 13, Jalan Adenium 2G/13, Pusat Perniagaan Adenium, Seksyen BB5, Bukit Beruntung, 48300, Rawang, Selangor, 48300 Rawang",48300,Selangor,Rawang,+60 12-775 8577,,,3.419815,101.556522
Taska Ainul Iman,"12A, Jalan Sari Ilham 1/1, 43000 Bangi, Selangor",43000,Selangor,Bangi,+60 16-658 5176,,,2.9302555,101.7973271
Taska Permata Ummi,"147, Jalan LEP 1/5, Lestari Putra, 43300 Seri Kembangan, Selangor",43300,Selangor,Seri Kembangan,+60 11-1233 5654,,,2.991556,101.6517385
Pasti Al-Hidayah,"Jalan PJS 2c/15, PJ Seksyen 2C - 2D, 46000 Petaling Jaya, Selangor",46000,Selangor,Petaling Jaya,+60 19-340 5588,,,3.080483,101.6275611
Tadika Todak Kids Caw. Cyberjaya,"Lot C1, Centrus Soho, G1, Lingkaran Cyber Point Barat, Cyberjaya, 63000 Cyberjaya, Selangor",63000,Selangor,Cyberjaya,+60 12-227 1041,kids@todak.com,,2.9262302,101.6494595
PASTI IBNU ABBAS,,,,,+60 19-360 4194,,,3.214643,101.6343458
Teenytown Integrated Islamic Preschool,"1-3, Jln Puteri 2A/8, Bandar Bukit Mahkota, 43000 Kajang, Selangor",43000,Selangor,Kajang,+60 12-274 5061,,,2.8807842,101.7947831
Tadika Thinkerland Education,"1st Floor, Parklane, D2-1-12, Jalan 1/152, Taman Overseas Union, 58200 Kuala Lumpur",58200,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 18-873 2966,,,3.0667499,101.6586787
CurioTots,,,,,+60 16-394 8735,,,3.106299,101.7248299
Taska Permata Ainul Mardhiah Playschool Semenyih,"51, Jalan Tps 3/3, Taman Pelangi Semenyih, 43500 Semenyih, Selangor",43500,Selangor,Semenyih,+60 11-3669 5956,,,2.9347542,101.8637302
"Kidzplay Nursery, Playschool, Preschool & Daycare (Alam Damai & Damai Perdana)","31, Jalan Damai Bakti 1, Alam Damai, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",56000,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 11-5411 1266,https://www.youtube.com/@KidzplaycherasADandDP,,3.0607621,101.7419178
Smart Star Kids PWBB Shah Alam,,,,,+60 11-6272 2182,laakedemi2020@gmail.com,,3.0906074,101.5165128
Tadika Teratak Impian (Little caliphs Taman Pelangi Semenyih),"No 1, 1-1&1, 2, Jalan Tps 1/6, Taman Pelangi Semenyih, 43500 Semenyih, Selangor",43500,Selangor,Semenyih,+60 17-371 4568,hjroslan.littlecaliphs@gmail.com,,2.9322811,101.857134
TASKI ABIM Saidatina Fatimah Sri Serdang,"No. 1199, Jalan 18/49, Taman Sri Serdang, 43300 Seri Kembangan, Selangor",43300,Selangor,Seri Kembangan,+60 3-8948 5153,,,3.0102869,101.7173903
Bright Robin SS14 Subang Jaya,"76A, Jalan SS 14/1, Ss 14, 47500 Subang Jaya, Selangor",47500,Selangor,Subang Jaya,+60 18-293 7800,info@brightrobin.com.my,,3.0685114,101.5864399
Pusat Asuhan Tunas Islam (Pasti) Kg Sg Lang Baru,"Jalan Turi, Kampung Sungai Lang Tengah, 42700 Banting, Selangor",42700,Selangor,Banting,+60 3-3187 5537,,,2.7922925,101.5064851
KinderKaizen USJ,"A-05-08, DA MEN Mall, Persiaran Kewajipan, Usj 1, 47600 Subang Jaya, Selangor",47600,Selangor,Subang Jaya,+60 19-472 9620,kinderkaizen@gmail.com,,3.0571771,101.5924869
Taska Asuhan Bonda,"33, Jalan Sari Ilmia 2, 2, Jln Alam Sari, Kampung Sungai Tangkas, 43000 Kajang, Selangor",43000,Selangor,Kajang,+60 19-382 3756,,,2.9281702,101.7958242
Little Angel Kindergarten,"No. 16-2, 15-2, Prima Bizwalk, Jalan Tasik Prima 6/2, Taman Tasik Prima, 47100 Puchong, Selangor",47100,Selangor,Puchong,+60 10-256 6676,angel.academybiz@gmail.com,,2.9829279,101.6036213
Earth School Kuala Lumpur (Main Campus),"3134, Jalan Penchala Indah, Kampung Bukit Lanjan, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",60000,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 12-312 8038,,,3.1716694,101.6203069
Tadika Najah Ilmi,"No.14, Taman Anggerik Permai 2 Jalan Lombong Besi 2, Seksyen 29, Kampung Lombong, 40460 Shah Alam, Selangor",40460,Selangor,Shah Alam,+60 14-914 7713,,,2.9728773,101.5559073
WYNKIDS Preschool Setia Alam 2 (Impian 5),"1, Jalan Setia Impian U13/5b, Setia Alam, 40170 Shah Alam, Selangor",40170,Selangor,Shah Alam,+60 10-393 8433,,,3.1005504,101.4504294
Tadika Pintar Arif,"6, Jalan BRP 5/3, Bukit Rahman Putra, 47000 Sungai Buloh, Selangor",47000,Selangor,Sungai Buloh,+60 12-500 3994,,,3.2165364,101.5594657
Playschool Indera Sempurna,"no 1 1, 7, Lrg IS 1, Perkampungan Indera Sempurna, 26060 Kuantan, Pahang",26060,Pahang,Kuantan,+60 12-937 8273,,,3.7329807,103.2679838
TABIKA KEMAS TAMAN LEMBAH MAJU,"66, Jalan Maju Utama, Taman Lembah Maju, 56100 Kuala Lumpur, Selangor",56100,Selangor,Kuala Lumpur,+60 14-231 3711,,,3.126734,101.754769
TADIKA CERIA KECIL,"B-1-22 BLOK B, KOMPLEKS SURIA KINRARA, SEKSYEN 3, Taman Kinrara, 47100 Puchong, Selangor",47100,Selangor,Puchong,+60 18-328 2659,,,3.0616658,101.6423327
Glorious Kids Brain Centre,"No. 15, 1, Jalan Putra Mahkota 7/6c, Putra Heights, 47650 Subang Jaya, Selangor",47650,Selangor,Subang Jaya,+60 12-230 2113,,,2.996399,101.5737083
Little Leaders Subang Bestari,"Jalan Nova K U5/K, Subang Bestari, 40150 Shah Alam, Selangor",40150,Selangor,Shah Alam,+60 17-470 7977,,,3.1772957,101.5452437
You & Me Preschool ( Putra Heights ),"22-2, Jalan Putra Mahkota 7/8a, Pusat Bandar Putra Point, 47650 Subang Jaya, Selangor",47650,Selangor,Subang Jaya,+60 12-230 2113,melissa@bitly.com,Melissa Wallace,2.9920625,101.5740246
"R.E.A.L Kids, USJ 9 Subang","Jalan USJ 9/3, &, Jalan USJ 9/4, Usj 9, 47600 Subang Jaya, Selangor",47600,Selangor,Subang Jaya,+60 3-5892 9029,aradamansara@realkids.edu.my,,3.0398239,101.5832588
Taska Bondamama Intan Baiduri,"3, Jalan Intan Baiduri 1, 43900 Sepang, Selangor",43900,Selangor,Sepang,+60 12-688 6234,,,2.8029086,101.7064013
Taski ABIM Little Huffaz,"8 No, Seksyen, 64, Lorong Naluri Sukma 8/1, 42300 Puncak Alam, Selangor",42300,Selangor,Puncak Alam,+60 12-409 0112,abim.little.huffaz@gmail.com,,3.2285718,101.4267224
Precious Seeds Early Learning & Childcare Centre,"B-03-03 & B-03-03A, Sunway Geo Avenue, Jalan Lagoon Selatan, 47500 Subang Jaya, Selangor",47500,Selangor,Subang Jaya,+60 17-224 5616,enquiry@preciousseedselc.com,,3.0645338,101.6100339
Tadika Krista @ Sg. Buloh Country Resort,"No. 88, Jalan Anggerik 3, 47000, Saujana Utama 1, Sg. Buloh Country Resort, Sg. Buloh, Selangor",47000,Selangor,MY,+60 3-6038 8073,,,3.203548,101.481121
Green Meadows Montessori,"55, Jalan SL 4/3, Bandar Sungai Long, 43000 Kajang, Selangor",43000,Selangor,Kajang,+60 12-223 6176,greenmeadowsmontessori@gmail.com,,3.040224,101.801591
Q-dees Bdr Mahkota Cheras (Tadika Johan Jaya),"23, Jalan Inang 3/9, Seksyen 9 Bandar Mahkota Cheras, 43200 Kajang, Selangor",43200,Selangor,Kajang,+60 12-270 6821,johanjaya@gmail.com,,3.0580423,101.7871816
Genius Aulad Kota Warisan,"43900, 33-1, Jalan Warisan Sentral 1, KIP Sentral, 63000 Sepang, Selangor",63000,Selangor,Sepang,+60 12-694 0300,,,2.8193266,101.6941443
Si Bijak (Prima),"2, Jalan Prima 2/7, Taman Puchong Prima, 47100 Puchong, Selangor",47100,Selangor,Puchong,+60 12-384 8088,,,3.0009759,101.5983816
AN NAJAH EDUCARE CENTRE,"1, Jalan Wau Tujuh 11/1g, Seksyen 11, 40100 Shah Alam, Selangor",40100,Selangor,Shah Alam,+60 3-5513 3207,,,3.0759343,101.5291018
Taming Genius Education Kota Warisan,"NO 27-1F & 27-2F, ARENA WARISAN PUTERI, Jalan Arena, Kota Warisan, 43900 Sepang, Selangor",43900,Selangor,Sepang,+60 11-1157 2646,gkloof@gmail.com,Guillaume Kloof,2.826374,101.6928784
Tadika Anak Ria,"32&34, Jalan Serindit 1d, Bandar Puchong Jaya, 47100 Puchong, Selangor",47100,Selangor,Puchong,+60 12-259 1089,,,3.0395481,101.6258933
Al Kauthar Eduqids Setiawangsa,"34, Jalan Setiawangsa Utama, Taman Setiawangsa, 54200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",54200,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 10-911 5606,,,3.1772698,101.7427421
Taska Amazing Seed Puchong Perdana,"2, Jalan Perdana 4/3, Taman Puchong Perdana, 47100 Puchong, Selangor",47100,Selangor,Puchong,+60 16-212 0753,,,3.0057533,101.6027517
TADIKA UMMI INTELEK,"No.13A-2, Sri Manja Square II, Jalan PJS 3/59, Taman Sri Manja, 46000 Petaling Jaya, Selangor",46000,Selangor,Petaling Jaya,+60 3-7782 5805,,,3.0749549,101.65001
Kidskool - Kindergarten & Tuition Centre (Cyberjaya),"No 12, Block C Basement, 1st & 2nd Floor, Jalan GC 1, Glomac, 63200 Cyberjaya, Selangor",63200,Selangor,Cyberjaya,+60 17-916 3331,bukitpuchong@gmail.com,,2.923923,101.6558448
al kauthar eduqids m residence rawang,"no 31, taman m residensi, 1, Jln MR 1/4, 48000 Rawang, Selangor",48000,Selangor,Rawang,+60 17-587 9161,,,3.3196485,101.5096532
Tadika Chim (Damansara Utama Branch),"77, Jalan SS 21/3, Damansara Utama, 46100 Petaling Jaya, Selangor",46100,Selangor,Petaling Jaya,+60 3-7728 5752,,,3.1376733,101.6203456
Tadika Minda Fajar -Mahkota Cheras,"2, Jalan Dayang 21/8, Bandar Mahkota Cheras, 43200 Kajang, Selangor",43200,Selangor,Kajang,+60 11-6082 1016,,,3.0530739,101.7907254
Tadika Joy Kid,"Lot 1485, Lorong Kopi 5, Pandamaran, 42000 Pelabuhan Klang, Selangor",42000,Selangor,Port Klang,+60 3-3167 3678,,,3.0132124,101.423884
Kidskool - Preschool & Infant Care Centre (Bandar Bukit Puchong),"No. 1, Jalan BP 7/12, Bandar Bukit, Bandar Bukit Puchong, 47120 Puchong, Selangor",47120,Selangor,Puchong,+60 11-3333 1230,bukitpuchong@gmail.com,,2.9844537,101.6197185
Tadika Islam Cahaya Murni,"Masjid Zakaria Batu 8 (Gombak Utara), Jln Gombak, Kampung Sungai Chinchin, 53100, Selangor",53100,Selangor,MY,+60 19-368 0236,,,3.2515378,101.7235051
Tadika Jasmini,"No. 584, Jalan Jasmin 17, Taman Jasmin, 43000 Kajang, Selangor",43000,Selangor,Kajang,+60 3-8734 2670,tadikajasmini@gmail.com,,2.9823626,101.8060899
Tadika Islam MAIWP Hidayatul Mustaqimah,"Taman Beringin, Kuala Lumpur, 52000 Jinjang Utara, Jinjang",52000,Federal Territory of Kuala Lumpur,"Jinjang Utara, Jinjang",+60 12-285 5757,,,3.221173,101.6668617
Keedsflix Campus Taman Permata,"8a, Persiaran Permata, Taman Permata, 53300 Kuala Lumpur, Selangor",53300,Selangor,Kuala Lumpur,+60 19-774 4898,coolskool001@gmail.com,,3.2065802,101.7520519
Morning Glory Early Education Centre,"PT77189-1 First Floor, Jalan Berjaya 10, Taman Berjaya, 43000 Kajang, Selangor",43000,Selangor,Kajang,+60 11-2670 7218,,,2.9842632,101.7780967
TADIKA CENDEKIAWAN TUNAS,"52, Jalan 4/12g, FASA 4 TAMBAHAN, 43650 Bandar Baru Bangi, Selangor",43650,Selangor,Bandar Baru Bangi,+60 11-6214 7899,,,2.964107,101.7776031
KEEDSFLIX PRESCHOOL USJ 10,"29-01, Jalan USJ 10/1g, UEP Subang Jaya, 47630 Subang Jaya, Selangor",47630,Selangor,Subang Jaya,+60 12-939 7515,autoesthetique12@gmail.com,Frikane Abdelhadi,3.0472651,101.584843
Little Caliphs Seri Kembangan - Tadika Bahtera Khalifah,"No 37-1 & 41, 1C, Jalan Bpp 8/1, Pusat Bandar Putra Permai, 43300 Seri Kembangan, Selangor",43300,Selangor,Seri Kembangan,+60 16-367 0400,bahterakhalifah@gmail.com,,2.9854656,101.6652261
Q-Dees Bukit Jalil Tadika Madu Ilmu,"27, Jln Jalil Perkasa 18, Taman Esplanad, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",57000,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 13-993 4107,tadikamaduilmu@yahoo.com,,3.0606198,101.6783609
Selayang Kidopia Preschool,"30, Jalan SU 9, Taman Selayang Utama, 68100 Batu Caves, Selangor",68100,Selangor,Batu Caves,+60 12-513 9200,,,3.2362394,101.6466353
TASKA CERIA CERDAS,"BANGUNAN MENARA, FAKULTI KEJURUTERAAN, UNIVERSITI PUTRA MALAYSIA, 43300 Seri Kembangan, Selangor",43300,Selangor,Seri Kembangan,+60 19-572 2264,,,3.008895,101.721227
Tadika Islam Nur Haziq Putra Perdana,"24, Jalan Putra Perdana 3/24, Taman Putra Perdana, 47100 Puchong, Selangor",47100,Selangor,Puchong,+60 11-1164 9969,,,2.9392262,101.6197078
Tiny Tree House Preschool,"East, Jalan Eserina Y U16/Y, Elmina, 40160 Shah Alam, Selangor",40160,Selangor,Shah Alam,+60 17-217 1233,tinytreehousepreschool@gmail.com,,3.1849831,101.5266194
3Q MRC Toddlers Taman Mayang,"2, Jalan SS 25/4, Taman Mayang, 47301 Petaling Jaya, Selangor",47301,Selangor,Petaling Jaya,+60 11-5672 5487,,,3.1134315,101.6072675
Tadika Si Kecil Intelek,"Jalan 9, Taman Len Seng, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",56000,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 12-232 9136,,,3.074753,101.7421402
Tadika Anakku Soleh | Muslim Kindergarten,"3, Jalan Anggerik Tainia 31/123, Kota Kemuning, 40460 Shah Alam, Selangor",40460,Selangor,Shah Alam,+60 19-396 6053,,,2.985141,101.5328975
Generasi Genius Elmina Garden,"23-2, Jln Frekuensi R U16/R, Seksyen U16, Elmina East,40169, 40160 Shah Alam, Selangor",40160,Selangor,Shah Alam,+60 10-665 7481,,,3.1886981,101.5219331
Smart Talent Tadika Prima Bestari 培特立幼儿园,"Villa Laman Tasik, Clubhouse, Jalan 7/106, Bandar Sri Permaisuri, 56100 Cheras, Wilayah Persekutuan Kuala Lumpur",56100,Federal Territory of Kuala Lumpur,Cheras,+60 12-257 7685,,,3.1049805,101.7131222
De' Majestic Universal Preschool and Playschool,"Level 1, 28-1, Jalan Dagang SB 4/1, Taman Sungai Besi Indah, 43300 Seri Kembangan, Selangor",43300,Selangor,Seri Kembangan,+60 11-5509 8059,,,3.0250672,101.7172428
Tadika Layang-Layang,"No. 2, Jalan Mawar 12C, Bandar Baru Salak Tinggi, Taman Mawar, Selangor, 43900 Sepang",43900,Selangor,Sepang,+60 12-215 2404,,,2.8165426,101.7338813
Keedsflix Campus Wangsa Maju,"KLSC II, 35, Jalan Wangsa Delima 5, Wangsa Maju, 53300 Kuala Lumpur, Federal Territory of Kuala Lumpur",53300,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 18-285 4948,,,3.1990065,101.7455619
Little Muslims Mutiara Gombak,"10-GF, Pinggiran Mutiara Utama, Mutiara Gombak 1, 53100 Kuala Lumpur, Selangor",53100,Selangor,Kuala Lumpur,+60 13-721 1230,,,3.2371978,101.717027
Tadika Genius Taqwa,"25, Jalan Laman Bakawali D/5, Jalan Laman Bakawali, 71800 Labu, Negeri Sembilan",71800,Negeri Sembilan,Labu,+60 11-1028 2654,,,2.7821895,101.780495
Mesra kids Lyra,"2, Jalan Ulek Mayang 4H/KU5, 41050 Klang, Selangor",41050,Selangor,Klang,+60 12-930 8304,info@mesrakids.com.my,,3.0992317,101.4151406
Taska Permata Perpaduan,"3, Jalan SP 4/29, Bandar Saujana Putra, 42610 Jenjarom, Selangor",42610,Selangor,Jenjarom,+60 3-5161 5424,,,2.9448894,101.5892731
CIC kajang,,,,,+60 16-210 1444,,,3.0078994,101.7347653
Pasti Al Huda,"Pekan Parit Baru, Selangor, 45100",45100,Selangor,Sungai Air Tawar,+60 19-613 9324,,,3.821007,100.8408675
Tadika KinderJoy - Kota Damansara,"C-1F-1 & C-1F-2, Encorp Strand Garden Office, Jalan PJU 5/1, Kota Damansara, 47810 Petaling Jaya, Selangor",47810,Selangor,Petaling Jaya,+60 10-202 1181,bj@kinderjoy.edu.my,,3.1536674,101.5962205
Kitakids Bangsar,"150, Lrg Maarof, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",59000,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 3-2095 2323,info@kitakids.com.my,,3.136849,101.6732711
Pasti Little Ikhwan,"54, Lorong Naluri Sukma 8/6, 45010 Puncak Alam, Selangor",45010,Selangor,Puncak Alam,+60 13-256 9162,,,3.2292838,101.4260143
Taska Kota Ceria,"91, Jalan Cecawi 6/27, Seksyen 6 Kota Damansara, 47810 Petaling Jaya, Selangor",47810,Selangor,Petaling Jaya,+60 19-309 7420,,,3.1570136,101.5770583
Tadika Khalifah Insaniah (KICDC) Pandan Indah 2,"11M, Jalan Pandan Indah 1/23d, Pandan Indah, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",55100,Federal Territory of Kuala Lumpur,Kuala Lumpur,+60 19-280 7546,,,3.1313356,101.7522398
