Umur,Tahun/Level,Subjek,Bidang / Topik,Kemahiran / Subtopik,Kod Kemahiran,Tahap,Jenis Soalan,Contoh Soalan,Rujukan KSSR
4,Prasekolah Thn 1,Geography,Cuaca,Cuaca: panas (☀️) vs hujan (🌧️),GEO-A4-CW01,Mudah,MCQ,Gambar mana menunjukkan cuaca panas?,KSPK Tahun 1
4,Prasekolah Thn 1,Geography,Arah,Konsep: kiri vs kanan,GEO-A4-AR01,Mudah,MCQ,Tangan kanan kamu ada di sebelah mana? [gambar],KSPK Tahun 1
4,Prasekolah Thn 1,Sejarah,Identiti Diri,"Mengenal diri: nama, umur, jantina",SJ-A4-ID01,Mudah,MCQ,Saya seorang ___? (lelaki/perempuan) [gambar],KSPK Tahun 1
4,Prasekolah Thn 1,Sejarah,Keluarga,"Mengenal ahli keluarga: ibu, ayah, abang, kakak, adik",SJ-A4-KL01,Mudah,MCQ,Gambar mana menunjukkan 'ibu'? [gambar keluarga],KSPK Tahun 1
4,Prasekolah Thn 1,Sejarah,Budaya,"Mengenal pakaian tradisional (baju kurung, cheongsam, sari)",SJ-A4-BD01,Mudah,MCQ,Pakaian mana ini? [gambar baju kurung],KSPK Tahun 1
4,Prasekolah Thn 1,Sejarah,Simbol Negara,Mengenal bendera Malaysia – Jalur Gemilang,SJ-A4-SN01,Mudah,MCQ,Gambar mana ialah bendera Malaysia? [4 pilihan bendera],KSPK Tahun 1
4,Prasekolah Thn 1,Sejarah,Komuniti,"Mengenal pekerjaan: guru, doktor, polis",SJ-A4-KM01,Mudah,MCQ,Siapakah yang mengajar di sekolah? [gambar],KSPK Tahun 1
5,Prasekolah Thn 2,Matematik,Nombor,Membilang objek 1–10,MAT-A5-N01,Mudah,MCQ,Berapa banyak bintang? [gambar 7 bintang],KSPK Tahun 2
5,Prasekolah Thn 2,Matematik,Nombor,Mengenal angka 1–10 dan lambangnya,MAT-A5-N02,Mudah,MCQ,Angka manakah menunjukkan lapan? [6/7/8/9],KSPK Tahun 2
5,Prasekolah Thn 2,Matematik,Nombor,Nombor sebelum dan selepas (1–10),MAT-A5-N03,Mudah,MCQ,Nombor selepas 6 ialah ___? [5/6/7/8],KSPK Tahun 2
5,Prasekolah Thn 2,Matematik,Operasi,Tambah menggunakan objek hingga 10,MAT-A5-O01,Mudah,MCQ,3 epal + 2 epal = ___? [gambar],KSPK Tahun 2
5,Prasekolah Thn 2,Matematik,Perbandingan,Lebih banyak vs lebih sedikit (hingga 10),MAT-A5-N04,Mudah,MCQ,Kumpulan mana ada lebih banyak? [gambar 4 vs 7 objek],KSPK Tahun 2
5,Prasekolah Thn 2,Matematik,Bentuk 2D,"Mengenal dan menamakan: bulatan, segi tiga, segi empat, segi empat tepat",MAT-A5-B01,Mudah,MCQ,Bentuk dengan 4 sisi yang sama panjang ialah ___?,KSPK Tahun 2
5,Prasekolah Thn 2,Matematik,Pola,Mengenal dan sambung pola ABC,MAT-A5-P01,Mudah,MCQ,"Corak seterusnya? [merah, biru, hijau, merah, biru, ___]",KSPK Tahun 2
5,Prasekolah Thn 2,Matematik,Sukatan,Berat: berat vs ringan (perbandingan visual),MAT-A5-S01,Mudah,MCQ,Yang mana lebih berat? [gambar gajah vs arnab],KSPK Tahun 2
5,Prasekolah Thn 2,Sains,Hidupan,"Keperluan hidup: makanan, air, udara, cahaya",SCI-A5-H01,Mudah,MCQ,Manusia perlukan ___ untuk hidup. [pilih 2: air/batu/makanan/televisyen],KSPK Tahun 2
5,Prasekolah Thn 2,Sains,Haiwan,Haiwan peliharaan vs haiwan liar,SCI-A5-A01,Mudah,MCQ,Haiwan manakah haiwan peliharaan? [kucing/singa/buaya],KSPK Tahun 2
5,Prasekolah Thn 2,Sains,Haiwan,Makanan haiwan: tumbuhan vs daging,SCI-A5-A02,Mudah,MCQ,Arnab makan ___? [daging/sayur/ikan],KSPK Tahun 2
5,Prasekolah Thn 2,Sains,Tumbuhan,"Bahagian tumbuhan: akar, batang, daun, bunga, buah",SCI-A5-T01,Mudah,MCQ,Bahagian tumbuhan yang berwarna hijau dan lebar ialah ___?,KSPK Tahun 2
5,Prasekolah Thn 2,Sains,Bahan,Terapung vs tenggelam (ujian mudah),SCI-A5-B01,Mudah,MCQ,Batu akan terapung atau tenggelam dalam air?,KSPK Tahun 2
5,Prasekolah Thn 2,Sains,Cuaca,Pakaian sesuai mengikut cuaca,SCI-A5-C01,Mudah,MCQ,Hari hujan — pakaian apa yang sesuai? [gambar payung/topi/baju tebal],KSPK Tahun 2
5,Prasekolah Thn 2,English,Phonics,"Bunyi huruf awal semua konsonan b,c,d,f,g…",ENG-A5-P01,Mudah,MCQ,Which picture starts with the letter 'D'? [dog/cat/fish/bird],KSPK Tahun 2
5,Prasekolah Thn 2,English,Phonics,"Mengenal huruf vokal: A, E, I, O, U",ENG-A5-P02,Mudah,MCQ,Which letter is a vowel? [A/B/C/D],KSPK Tahun 2
5,Prasekolah Thn 2,English,Phonics,"Perkataan CVC mudah: cat, dog, sit, run",ENG-A5-P03,Mudah,MCQ,What is this? [gambar kucing] (cat/bat/hat),KSPK Tahun 2
5,Prasekolah Thn 2,English,Vocabulary,Nombor 1–10 dalam BI,ENG-A5-V01,Mudah,MCQ,How many birds? [gambar 6 burung] (five/six/seven),KSPK Tahun 2
5,Prasekolah Thn 2,English,Vocabulary,"Nama anggota badan: head, hand, leg, eye, ear",ENG-A5-V02,Mudah,MCQ,We use our ___ to hear. (eye/ear/nose),KSPK Tahun 2
5,Prasekolah Thn 2,English,Vocabulary,"Kata sifat mudah: big, small, tall, short",ENG-A5-V03,Mudah,MCQ,The elephant is ___. [gambar gajah besar] (big/small/tall),KSPK Tahun 2
5,Prasekolah Thn 2,Bahasa Melayu,Fonetik,"Suku kata KV: ba, bu, da, di, ma, mi, sa, si",BM-A5-F01,Mudah,MCQ,Suku kata pertama bagi 'bola' ialah ___? [ba/bo/bu/bi],KSPK Tahun 2
5,Prasekolah Thn 2,Bahasa Melayu,Fonetik,"Membatang perkataan 2 suku kata KV+KV: bola, meja, buku",BM-A5-F02,Mudah,MCQ,'bo' + 'la' = ___? [bola/bale/bila],KSPK Tahun 2
5,Prasekolah Thn 2,Bahasa Melayu,Kosa Kata,"Nama haiwan: kucing, anjing, ikan, burung, arnab",BM-A5-K01,Mudah,MCQ,Apakah nama haiwan ini? [gambar arnab],KSPK Tahun 2
5,Prasekolah Thn 2,Bahasa Melayu,Kosa Kata,Bilangan 1–10 dalam BM: satu hingga sepuluh,BM-A5-K02,Mudah,MCQ,Berapa banyak? [gambar 5 bintang] (empat/lima/enam),KSPK Tahun 2
5,Prasekolah Thn 2,Bahasa Melayu,Ayat,Padankan gambar dengan ayat mudah,BM-A5-A01,Mudah,MCQ,Pilih ayat yang sesuai untuk gambar ini. [gambar budak berlari],KSPK Tahun 2
5,Prasekolah Thn 2,Chinese,Aksara,Mengenal nombor Cina 1–10 (一到十),ZH-A5-A01,Mudah,MCQ,Aksara manakah bermaksud 'tujuh'? [六/七/八/九],KSPK Tahun 2
5,Prasekolah Thn 2,Chinese,Aksara,"Mengenal aksara keluarga: 爸,妈,哥,姐,弟,妹",ZH-A5-A02,Mudah,MCQ,Aksara 妈 bermaksud ___? (ayah/ibu/abang/kakak),KSPK Tahun 2
5,Prasekolah Thn 2,Chinese,Pinyin,"Pinyin konsonan mudah: b,p,m,f,d,t,n,l",ZH-A5-P01,Mudah,MCQ,Pinyin bagi '猫' ialah ___? (māo/niú/gǒu),KSPK Tahun 2
5,Prasekolah Thn 2,Chinese,Kosa Kata,"Kosa kata haiwan: 猫,狗,鱼,鸟",ZH-A5-K01,Mudah,MCQ,Aksara 鱼 bermaksud ___? (kucing/ikan/burung),KSPK Tahun 2
5,Prasekolah Thn 2,Geography,Persekitaran,Mengenal kawasan: bandar vs kampung,GEO-A5-PK01,Mudah,MCQ,Gambar mana menunjukkan kawasan bandar? [gambar],KSPK Tahun 2
5,Prasekolah Thn 2,Geography,Pengangkutan,"Jenis pengangkutan: darat, air, udara",GEO-A5-PG01,Mudah,MCQ,Kapal terbang bergerak di ___? (darat/air/udara),KSPK Tahun 2
5,Prasekolah Thn 2,Geography,Alam Sekitar,"Mengenal alam semula jadi: gunung, sungai, laut, hutan",GEO-A5-AS01,Mudah,MCQ,Gambar mana menunjukkan gunung? [gambar],KSPK Tahun 2
5,Prasekolah Thn 2,Geography,Cuaca,"Keadaan cuaca: cerah, hujan, berawan, berangin",GEO-A5-CW01,Mudah,MCQ,Cuaca apakah dalam gambar? [gambar mendung],KSPK Tahun 2
5,Prasekolah Thn 2,Geography,Arah,"Konsep arah: kiri, kanan, depan, belakang",GEO-A5-AR01,Mudah,MCQ,Kedai ada di sebelah ___ sekolah. [gambar pelan mudah],KSPK Tahun 2
5,Prasekolah Thn 2,Geography,Persekitaran,"Tempat dalam komuniti: hospital, pasar, masjid, sekolah",GEO-A5-PK02,Mudah,MCQ,Di manakah kita pergi jika sakit? [gambar hospital/sekolah/pasar],KSPK Tahun 2
5,Prasekolah Thn 2,Sejarah,Keluarga,"Peranan ahli keluarga: ayah bekerja, ibu masak",SJ-A5-KL01,Mudah,MCQ,Siapakah yang biasanya memasak di rumah? [gambar],KSPK Tahun 2
5,Prasekolah Thn 2,Sejarah,Budaya,"Perayaan Malaysia: Hari Raya, Tahun Baru Cina, Deepavali",SJ-A5-BD01,Mudah,MCQ,Perayaan manakah disambut oleh masyarakat Melayu?,KSPK Tahun 2
5,Prasekolah Thn 2,Sejarah,Budaya,"Makanan tradisional: nasi lemak, kuih bulan, murukku",SJ-A5-BD02,Mudah,MCQ,Nasi lemak adalah makanan tradisional kaum ___?,KSPK Tahun 2
5,Prasekolah Thn 2,Sejarah,Simbol Negara,Warna bendera Malaysia,SJ-A5-SN01,Mudah,MCQ,Bendera Malaysia ada berapa warna? [gambar Jalur Gemilang],KSPK Tahun 2
5,Prasekolah Thn 2,Sejarah,Komuniti,"Peraturan dalam komuniti: patuh lampu isyarat, buang sampah",SJ-A5-KM01,Mudah,MCQ,Apa yang patut kita buat dengan sampah? [gambar tong sampah],KSPK Tahun 2
6,Prasekolah Thn 3,Matematik,Nombor,Membilang 1–20 dan mengenal lambang angkanya,MAT-A6-N01,Mudah,MCQ,Nombor selepas 15 ialah ___? [14/15/16/17],KSPK Tahun 3
6,Prasekolah Thn 3,Matematik,Nombor,Membilang mundur dari 10 ke 1,MAT-A6-N02,Mudah,MCQ,"10, 9, 8, ___. Nombor seterusnya? [6/7/8/9]",KSPK Tahun 3
6,Prasekolah Thn 3,Matematik,Operasi,"Tambah dua nombor, hasil hingga 10",MAT-A6-O01,Mudah,MCQ,4 + 3 = ___? [6/7/8/9],KSPK Tahun 3
6,Prasekolah Thn 3,Matematik,Operasi,Tolak dua nombor dalam lingkungan 10,MAT-A6-O02,Mudah,MCQ,8 – 3 = ___? [4/5/6/7],KSPK Tahun 3
6,Prasekolah Thn 3,Matematik,Nombor,Nombor ganjil dan genap (1–10),MAT-A6-N03,Mudah,MCQ,Nombor manakah nombor genap? [3/4/5/7],KSPK Tahun 3
6,Prasekolah Thn 3,Matematik,Bentuk 3D,"Mengenal bentuk 3D: kiub, sfera, kon, silinder",MAT-A6-B01,Mudah,MCQ,Bola berbentuk ___? [kiub/sfera/kon/silinder],KSPK Tahun 3
6,Prasekolah Thn 3,Matematik,Masa,Membaca jam – tepat (o'clock) sahaja,MAT-A6-M01,Mudah,MCQ,Jam ini menunjukkan pukul berapa? [gambar jam 3:00],KSPK Tahun 3
6,Prasekolah Thn 3,Matematik,Wang,"Mengenal syiling: 10 sen, 20 sen, 50 sen, RM1",MAT-A6-W01,Mudah,MCQ,Syiling manakah bernilai 50 sen? [gambar syiling],KSPK Tahun 3
6,Prasekolah Thn 3,Sains,Hidupan,Kitaran hidup mudah: telur → anak → dewasa (ayam),SCI-A6-H01,Mudah,MCQ,Peringkat pertama kitaran hidup ayam ialah ___? [telur/anak ayam/ayam dewasa],KSPK Tahun 3
6,Prasekolah Thn 3,Sains,Tumbuhan,"Keperluan tumbuhan: air, cahaya, tanah",SCI-A6-T01,Mudah,MCQ,Tumbuhan perlukan ___ untuk membuat makanan. (air/batu/pasir),KSPK Tahun 3
6,Prasekolah Thn 3,Sains,Haiwan,"Haiwan: cara bergerak (terbang, berenang, berjalan)",SCI-A6-A01,Mudah,MCQ,Ikan bergerak dengan cara ___? (terbang/berenang/berjalan),KSPK Tahun 3
6,Prasekolah Thn 3,Sains,Bahan,"Sifat bahan: keras vs lembut, kasar vs licin",SCI-A6-B01,Mudah,MCQ,Batu adalah bahan yang ___? (keras/lembut/ringan),KSPK Tahun 3
6,Prasekolah Thn 3,Sains,Deria,Menggunakan deria untuk menerangkan objek,SCI-A6-D01,Mudah,MCQ,Kita menggunakan ___ untuk merasa makanan. (mata/telinga/lidah),KSPK Tahun 3
6,Prasekolah Thn 3,Sains,Bumi,Siang dan malam: matahari dan bulan,SCI-A6-E01,Mudah,MCQ,"Pada waktu malam, kita boleh melihat ___? (matahari/bulan/pelangi)",KSPK Tahun 3
6,Prasekolah Thn 3,English,Phonics,Perkataan CVC – isi huruf tengah yang hilang (c_t),ENG-A6-P01,Mudah,MCQ,C_T — missing letter? [gambar kucing] (a/o/e/i),KSPK Tahun 3
6,Prasekolah Thn 3,English,Phonics,Perkataan yang berima (rhyming): cat/bat/hat,ENG-A6-P02,Mudah,MCQ,Which word rhymes with 'cat'? (hat/dog/fish/bird),KSPK Tahun 3
6,Prasekolah Thn 3,English,Sight Words,"Mengenal sight words: I, am, is, the, a, can, see, we",ENG-A6-SW01,Mudah,MCQ,___ a cat. Choose correct word. (I/is/am/the),KSPK Tahun 3
6,Prasekolah Thn 3,English,Grammar,Ayat mudah: This is a ___.,ENG-A6-G01,Mudah,MCQ,This is a ___. [gambar buku] (book/books/booking),KSPK Tahun 3
6,Prasekolah Thn 3,English,Vocabulary,"Kata kerja mudah: run, jump, eat, sleep, play",ENG-A6-V01,Mudah,MCQ,The dog is ___. [gambar anjing berlari] (running/eating/sleeping),KSPK Tahun 3
6,Prasekolah Thn 3,English,Punctuation,Tanda noktah dan tanda soal (. vs ?),ENG-A6-PU01,Mudah,MCQ,Which sentence needs a question mark? (She is happy_/What is your name_),KSPK Tahun 3
6,Prasekolah Thn 3,Bahasa Melayu,Fonetik,"Suku kata KVK: bab, cat, dan, has, mas",BM-A6-F01,Mudah,MCQ,Suku kata KVK ialah ___? [ba/bat/bola/buku],KSPK Tahun 3
6,Prasekolah Thn 3,Bahasa Melayu,Fonetik,"Membatang perkataan 2 suku kata KV+KVK: badan, makan, jalan",BM-A6-F02,Mudah,MCQ,'ma' + 'kan' = ___? [makan/makin/mekan],KSPK Tahun 3
6,Prasekolah Thn 3,Bahasa Melayu,Ejaan,Mengeja perkataan mudah 2 suku kata,BM-A6-E01,Mudah,MCQ,Ejaan yang betul ialah ___? (bola/bula/bolla/bolah),KSPK Tahun 3
6,Prasekolah Thn 3,Bahasa Melayu,Tatabahasa,Kata Nama Am – nama benda biasa,BM-A6-T01,Mudah,MCQ,Kata nama am ialah ___? (Ali/meja/Kuala Lumpur/Siti),KSPK Tahun 3
6,Prasekolah Thn 3,Bahasa Melayu,Tatabahasa,"Kata Kerja – tindakan (makan, berlari, menulis)",BM-A6-T02,Mudah,MCQ,Pilih kata kerja: (meja/cantik/berlari/merah),KSPK Tahun 3
6,Prasekolah Thn 3,Bahasa Melayu,Ayat,Membina ayat mudah: Subjek + Kata Kerja + Objek,BM-A6-A01,Mudah,MCQ,Ayat yang betul ialah ___? (Ali makan nasi./Makan Ali nasi./Nasi Ali makan.),KSPK Tahun 3
6,Prasekolah Thn 3,Chinese,Aksara,"Mengenal aksara badan manusia: 头,手,脚,眼,耳,口",ZH-A6-A01,Mudah,MCQ,Aksara 手 bermaksud ___? (kepala/tangan/kaki/mata),KSPK Tahun 3
6,Prasekolah Thn 3,Chinese,Pinyin,"Pinyin 4 nada: nada 1 (ā), nada 2 (á), nada 3 (ǎ), nada 4 (à)",ZH-A6-P01,Mudah,MCQ,'māo'(猫) adalah nada ke ___? (1/2/3/4),KSPK Tahun 3
6,Prasekolah Thn 3,Chinese,Aksara,"Mengenal aksara warna: 红,蓝,黄,绿,白,黑",ZH-A6-A02,Mudah,MCQ,Aksara 黄 bermaksud warna ___? (merah/biru/kuning/hijau),KSPK Tahun 3
6,Prasekolah Thn 3,Chinese,Ayat,Ayat mudah menggunakan 是: 我是学生,ZH-A6-Y01,Mudah,MCQ,我___学生。Isi tempat kosong. (是/有/在/和),KSPK Tahun 3
6,Prasekolah Thn 3,Chinese,Kosa Kata,"Kosa kata sekolah: 书,笔,纸,桌子,椅子",ZH-A6-K01,Mudah,MCQ,Aksara 书 bermaksud ___? (pensel/buku/meja/kerusi),KSPK Tahun 3
6,Prasekolah Thn 3,Geography,Peta,"Membaca pelan mudah: bilik darjah, sekolah",GEO-A6-PT01,Mudah,MCQ,"Dalam pelan ini, bilik guru ada di sebelah mana? [gambar pelan sekolah]",KSPK Tahun 3
6,Prasekolah Thn 3,Geography,Arah,"Mengenal arah mata angin asas: Utara, Selatan, Timur, Barat",GEO-A6-AR01,Mudah,MCQ,Berlawanan dengan Utara ialah ___? (Selatan/Timur/Barat),KSPK Tahun 3
6,Prasekolah Thn 3,Geography,Malaysia,Mengenal Malaysia sebagai sebuah negara,GEO-A6-MY01,Mudah,MCQ,Nama negara kita ialah ___? (Malaysia/Indonesia/Thailand),KSPK Tahun 3
6,Prasekolah Thn 3,Geography,Malaysia,Mengenal Semenanjung Malaysia vs Malaysia Timur,GEO-A6-MY02,Mudah,MCQ,Sabah dan Sarawak terletak di ___? (Semenanjung/Malaysia Timur),KSPK Tahun 3
6,Prasekolah Thn 3,Geography,Alam Sekitar,"Mengenal bencana alam mudah: banjir, kebakaran",GEO-A6-AS01,Mudah,MCQ,Hujan lebat boleh menyebabkan ___? (banjir/gempa bumi/ribut salji),KSPK Tahun 3
6,Prasekolah Thn 3,Geography,Pengangkutan,"Mengenal pengangkutan awam: bas, LRT, teksi, kapal",GEO-A6-PG01,Mudah,MCQ,Pengangkutan awam yang bergerak di atas landasan ialah ___? (bas/LRT/teksi),KSPK Tahun 3
6,Prasekolah Thn 3,Sejarah,Identiti Negara,"Malaysia: nama, ibu negara, bahasa rasmi",SJ-A6-IN01,Mudah,MCQ,Ibu negara Malaysia ialah ___? (Johor Bahru/Kuala Lumpur/Ipoh),KSPK Tahun 3
6,Prasekolah Thn 3,Sejarah,Simbol Negara,"Jalur Gemilang: bilangan jalur, warna, lambang",SJ-A6-SN01,Mudah,MCQ,Berapa bilangan jalur pada Jalur Gemilang? (12/14/16/18),KSPK Tahun 3
6,Prasekolah Thn 3,Sejarah,Simbol Negara,Bunga kebangsaan: Bunga Raya,SJ-A6-SN02,Mudah,MCQ,Bunga kebangsaan Malaysia ialah ___? (bunga ros/bunga raya/bunga matahari),KSPK Tahun 3
6,Prasekolah Thn 3,Sejarah,Simbol Negara,"Jata Negara: lambang harimau, keris, bulan bintang",SJ-A6-SN03,Mudah,MCQ,Haiwan apakah yang terdapat pada Jata Negara? (singa/harimau/helang),KSPK Tahun 3
6,Prasekolah Thn 3,Sejarah,Budaya,"Kepelbagaian kaum: Melayu, Cina, India, lain-lain",SJ-A6-BD01,Mudah,MCQ,Malaysia mempunyai pelbagai ___? (bahasa/kaum/bendera) [jawapan: kaum],KSPK Tahun 3
6,Prasekolah Thn 3,Sejarah,Rukun Negara,Pengenalan Rukun Negara – konsep perpaduan,SJ-A6-RN01,Mudah,MCQ,Rukun Negara dibuat untuk memastikan rakyat Malaysia ___? (bersatu/bergaduh/bersaing),KSPK Tahun 3
7,Tahun 1,Matematik,Nombor Bulat,Nilai nombor bulat hingga 100,MAT-T1-N01,Mudah,MCQ,Nombor selepas 49 ialah ___?,DSKP SK 1.1
7,Tahun 1,Matematik,Nombor Bulat,"Membilang mengikut tertib: 1s, 2s, 5s, 10s",MAT-T1-N02,Mudah,MCQ,"5, 10, 15, ___. Nombor seterusnya?",DSKP SK 1.4
7,Tahun 1,Matematik,Nombor Bulat,Nilai tempat: puluh dan sa,MAT-T1-N03,Mudah,MCQ,"Dalam nombor 37, digit puluh ialah ___?",DSKP SK 1.5
7,Tahun 1,Matematik,Operasi – Tambah,Menambah dua nombor dalam lingkungan 100,MAT-T1-OT01,Mudah,MCQ,23 + 14 = ___,DSKP SK 3.1
7,Tahun 1,Matematik,Operasi – Tambah,Pasangan nombor bagi suatu jumlah (nombor bon),MAT-T1-OT02,Mudah,MCQ,___ + 6 = 10. Isi tempat kosong.,DSKP SK 2.1
7,Tahun 1,Matematik,Operasi – Tolak,Menolak dua nombor dalam lingkungan 100,MAT-T1-OL01,Mudah,MCQ,45 – 22 = ___,DSKP SK 4.1
7,Tahun 1,Matematik,Wang,Mengenal syiling Malaysia (5 sen hingga RM1),MAT-T1-W01,Mudah,MCQ,Berapakah nilai keseluruhan syiling ini? [gambar],DSKP SK 5.1
7,Tahun 1,Matematik,Masa,Membaca jam – tepat (o'clock),MAT-T1-M01,Mudah,MCQ,Jam ini menunjukkan pukul berapa? [gambar jam 3:00],DSKP SK 6.1
