Tahun/Level,Subjek,Bidang / Topik,Kemahiran / Subtopik,Kod Kemahiran
Tahun 1,English,Phonics,"Bunyi huruf CVC (cat, dog, pin)",ENG-T1-P01
Tahun 1,English,Phonics,Perkataan CVC – isi huruf yang hilang (c_t),ENG-T1-P02
Tahun 1,English,Sight Words,"Mengenal dan membaca sight words (I, am, is, the, a, can)",ENG-T1-SW01
Tahun 1,English,Vocabulary,"Kosa kata topik: animals, colours, food, school items",ENG-T1-V01
Tahun 1,English,Grammar,Ayat mudah: subjek + predikat,ENG-T1-G01
Tahun 1,English,Writing,Menulis huruf besar dan huruf kecil dengan betul,ENG-T1-W01
Tahun 1,Bahasa Melayu,Fonetik,"Suku kata KV: ba, be, bi, bo, bu",BM-T1-F01
Tahun 1,Bahasa Melayu,Fonetik,"Suku kata KVK: bab, cak, dal, mil",BM-T1-F02
Tahun 1,Bahasa Melayu,Fonetik,Membatang dan membaca perkataan KVKV,BM-T1-F03
Tahun 1,Bahasa Melayu,Fonetik,Membatang dan membaca perkataan KVKVK,BM-T1-F04
Tahun 1,Bahasa Melayu,Ejaan,Mengeja dan menulis perkataan KV+KV,BM-T1-E01
Tahun 1,Bahasa Melayu,Tatabahasa,Kata Nama Am dan Kata Nama Khas,BM-T1-T01
Tahun 1,Bahasa Melayu,Tatabahasa,"Kata Ganti Nama Diri (saya, awak, dia)",BM-T1-T02
Tahun 1,Bahasa Melayu,Tatabahasa,Kata Kerja Aktif Transitif,BM-T1-T03
Tahun 1,Bahasa Melayu,Tatabahasa,Kata Adjektif (sifat benda),BM-T1-T04
Tahun 1,Bahasa Melayu,Tatabahasa,Imbuhan Awalan (me-),BM-T1-T05
Tahun 1,Bahasa Melayu,Tatabahasa,Jenis Ayat: Ayat Penyata,BM-T1-T06
Tahun 1,Chinese,Aksara,Mengenal dan membaca aksara asas Tahun 1 (~150 aksara),ZH-T1-A01
Tahun 1,Chinese,Pinyin,"Pinyin: huruf konsonan (b,p,m,f,d,t…)",ZH-T1-P01
Tahun 1,Chinese,Pinyin,Pinyin 4 nada (nada 1–4),ZH-T1-P02
Tahun 1,Chinese,Ductus,Urutan ductus (笔顺) aksara asas,ZH-T1-B01
Tahun 1,Chinese,Kosa Kata,"Kosa kata topik: keluarga, sekolah, nombor",ZH-T1-K01
Tahun 1,Chinese,Ayat,Membina ayat mudah menggunakan 是/有/在,ZH-T1-Y01
Tahun 1,Geography,Persekitaran,"Mengenal kawasan: rumah, sekolah, kedai, pasar",GEO-T1-PK01
Tahun 1,Geography,Persekitaran,Mengenal jiran dan komuniti,GEO-T1-PK02
Tahun 1,Geography,Peta Mudah,"Membaca pelan mudah (bilik darjah, sekolah)",GEO-T1-PM01
Tahun 1,Geography,Arah,"Mengenal arah: kiri, kanan, depan, belakang, atas, bawah",GEO-T1-AR01
Tahun 1,Geography,Alam Sekitar,Mengenal tumbuhan dan haiwan di persekitaran,GEO-T1-AS01
Tahun 1,Geography,Cuaca,Mengenal cuaca dan pakaian yang sesuai,GEO-T1-CW01
Tahun 1,Geography,Pengangkutan,"Jenis pengangkutan di darat, air dan udara",GEO-T1-PG01
Tahun 1,Sejarah,Identiti & Keluarga,Mengenal keluarga asas dan peranan ahli keluarga,SJ-T1-IK01
Tahun 1,Sejarah,Identiti & Keluarga,Mengenal negara Malaysia – saya rakyat Malaysia,SJ-T1-IK02
Tahun 1,Sejarah,Budaya,"Perayaan kaum di Malaysia: Hari Raya, CNY, Deepavali",SJ-T1-BD01
Tahun 1,Sejarah,Budaya,Pakaian tradisional mengikut kaum,SJ-T1-BD02
Tahun 1,Sejarah,Budaya,Makanan tradisional mengikut kaum,SJ-T1-BD03
Tahun 1,Sejarah,Simbol Negara,Jalur Gemilang: warna dan lambang,SJ-T1-SN01
Tahun 1,Sejarah,Simbol Negara,Lagu Negaraku – lagu kebangsaan,SJ-T1-SN02
Tahun 2,Matematik,Nombor Bulat,Nilai nombor bulat hingga 1000,MAT-T2-N01
Tahun 2,Matematik,Nombor Bulat,Membilang dalam lingkungan 1000,MAT-T2-N02
Tahun 2,Matematik,Operasi – Tambah,"Tambah dua nombor, hasil dalam lingkungan 1000",MAT-T2-OT01
Tahun 2,Matematik,Operasi – Tolak,Tolak dua nombor dalam lingkungan 1000,MAT-T2-OL01
Tahun 2,Matematik,Operasi – Darab,"Sifir 2, 3, 4, 5",MAT-T2-OD01
Tahun 2,Matematik,Operasi – Bahagi,Konsep bahagi sama rata,MAT-T2-OB01
Tahun 2,Matematik,Wang,Nilai wang kertas RM1–RM50,MAT-T2-W01
Tahun 2,Matematik,Masa,Membaca jam – setengah dan suku jam,MAT-T2-M01
Tahun 2,Matematik,Panjang,Mengukur panjang menggunakan cm dan m,MAT-T2-P01
Tahun 2,Matematik,Jisim,Menimbang jisim menggunakan g dan kg,MAT-T2-J01
Tahun 2,Matematik,Data,Membina dan membaca carta palang mudah,MAT-T2-D01
Tahun 2,Sains,Sains Hayat,"Kitaran hidup haiwan (kupu-kupu, katak)",SCI-T2-H01
Tahun 2,Sains,Sains Hayat,"Keperluan haiwan: makanan, air, tempat tinggal",SCI-T2-H02
Tahun 2,Sains,Sains Hayat,Pengkelasan tumbuhan: berbunga dan tidak berbunga,SCI-T2-T01
Tahun 2,Sains,Sains Fizikal,Daya tolak dan tarik,SCI-T2-F01
Tahun 2,Sains,Sains Bahan,"Keadaan jirim: pepejal, cecair, gas",SCI-T2-B01
Tahun 2,Sains,Bumi & Angkasa,"Objek langit: matahari, bulan, bintang",SCI-T2-E01
Tahun 2,English,Phonics,"Dwigraf: sh, ch, th, wh",ENG-T2-P01
Tahun 2,English,Phonics,"Bunyi vokal panjang: a-e, i-e, o-e (cake, bike, home)",ENG-T2-P02
Tahun 2,English,Vocabulary,"Kata sifat: big, small, happy, sad",ENG-T2-V01
Tahun 2,English,Grammar,Kata nama jamak regular (cat→cats),ENG-T2-G01
Tahun 2,English,Grammar,"Kata kerja present tense (run, eat, play)",ENG-T2-G02
Tahun 2,English,Grammar,"Artikel: a, an, the",ENG-T2-G03
Tahun 2,English,Writing,Menulis ayat mudah dengan tanda baca betul,ENG-T2-W01
Tahun 2,Bahasa Melayu,Membaca,Membaca dan memahami teks pendek (1–2 perenggan),BM-T2-MB01
Tahun 2,Bahasa Melayu,Ejaan,"Mengeja perkataan KVK+KV, KV+KVK, KVKK",BM-T2-E01
Tahun 2,Bahasa Melayu,Tatabahasa,"Penjodoh Bilangan (ekor, orang, biji, buah, helai)",BM-T2-T01
Tahun 2,Bahasa Melayu,Tatabahasa,Kata Kerja Pasif (di- + kata kerja),BM-T2-T02
Tahun 2,Bahasa Melayu,Tatabahasa,"Kata Sendi Nama (di, ke, dari, pada, untuk)",BM-T2-T03
Tahun 2,Bahasa Melayu,Tatabahasa,"Imbuhan Akhiran (-kan, -an, -i)",BM-T2-T04
Tahun 2,Bahasa Melayu,Tatabahasa,Kata Ganda Penuh,BM-T2-T05
Tahun 2,Bahasa Melayu,Tatabahasa,Jenis Ayat: Ayat Tanya,BM-T2-T06
Tahun 2,Chinese,Aksara,Aksara Tahun 2 (~200 aksara kumulatif),ZH-T2-A01
Tahun 2,Chinese,Radikal,"Mengenal radikal asas (人,水,木,火,土,口)",ZH-T2-R01
Tahun 2,Chinese,Kosa Kata,"Kosa kata topik: badan manusia, makanan, haiwan",ZH-T2-K01
Tahun 2,Chinese,Tatabahasa,Ayat tanya menggunakan 吗/什么/哪里/谁,ZH-T2-G01
Tahun 2,Chinese,Bacaan,Memahami teks pendek dan menjawab soalan,ZH-T2-B01
Tahun 2,Geography,Peta,Membaca dan memahami simbol peta mudah,GEO-T2-PT01
Tahun 2,Geography,Peta,"Mengenal arah mata angin: Utara, Selatan, Timur, Barat",GEO-T2-AR01
Tahun 2,Geography,Malaysia,"Mengenal Malaysia: benua, jiran, lautan",GEO-T2-MY01
Tahun 2,Geography,Malaysia,Mengenal Semenanjung Malaysia vs Sabah & Sarawak,GEO-T2-MY02
Tahun 2,Geography,Alam Sekitar,"Mengenal hutan, sungai, gunung dan pantai",GEO-T2-AS01
Tahun 2,Geography,Cuaca & Iklim,Malaysia beriklim khatulistiwa: panas dan lembap sepanjang tahun,GEO-T2-CK01
Tahun 2,Geography,Komuniti,"Jenis-jenis tempat dalam komuniti: hospital, stesen polis, sekolah",GEO-T2-KM01
Tahun 2,Sejarah,Budaya Malaysia,"Kepelbagaian kaum di Malaysia: Melayu, Cina, India, dll",SJ-T2-BM01
Tahun 2,Sejarah,Budaya Malaysia,Bahasa perpaduan: Bahasa Malaysia,SJ-T2-BM02
Tahun 2,Sejarah,Simbol Negara,Jata Negara: lambang-lambang,SJ-T2-SN01
Tahun 2,Sejarah,Simbol Negara,"Bunga kebangsaan, sukan kebangsaan, warna bendera",SJ-T2-SN02
Tahun 2,Sejarah,Komuniti,"Peranan pemimpin komuniti: ketua kampung, ahli majlis",SJ-T2-KM01
Tahun 2,Sejarah,Rukun Negara,Pengenalan Rukun Negara (5 prinsip),SJ-T2-RN01
Tahun 3,Matematik,Nombor Bulat,Nilai nombor bulat hingga 10 000,MAT-T3-N01
Tahun 3,Matematik,Operasi – Tambah,Tambah hingga tiga nombor dalam 10 000,MAT-T3-OT01
Tahun 3,Matematik,Operasi – Tolak,Tolak dua nombor dalam lingkungan 10 000,MAT-T3-OL01
Tahun 3,Matematik,Operasi – Darab,"Sifir 6, 7, 8, 9",MAT-T3-OD01
Tahun 3,Matematik,Operasi – Bahagi,Bahagi dalam lingkungan sifir 2–9,MAT-T3-OB01
Tahun 3,Matematik,Pecahan,"Mengenal dan menamakan pecahan (1/2, 1/3, 1/4, 1/5)",MAT-T3-PC01
Tahun 3,Matematik,Pecahan,Membanding dan menyusun pecahan,MAT-T3-PC02
Tahun 3,Matematik,Wang,Operasi bergabung melibatkan wang,MAT-T3-W01
Tahun 3,Matematik,Masa,"Membaca jam – minit (3:15, 4:45)",MAT-T3-M01
Tahun 3,Matematik,Panjang,"Menukar unit: m ke cm, km ke m",MAT-T3-P01
Tahun 3,Matematik,Data,Membaca dan menafsir carta palang,MAT-T3-D01
Tahun 3,Sains,Sains Hayat,Pembiakan haiwan: bertelur dan melahirkan anak,SCI-T3-H01
Tahun 3,Sains,Sains Hayat,"Pembiakan tumbuhan: benih, spora, keratan",SCI-T3-T01
Tahun 3,Sains,Sains Fizikal,"Daya: graviti, daya tolak, daya tarik",SCI-T3-F01
Tahun 3,Sains,Sains Bahan,"Sifat bahan: keras, lembut, telus, legap",SCI-T3-B01
Tahun 3,Sains,Kemahiran Proses,Kemahiran memerhati dan mengelas,SCI-T3-KP01
Tahun 3,English,Reading,Membaca dan memahami teks pendek – soalan fakta,ENG-T3-R01
Tahun 3,English,Grammar,Kata kerja lampau regular (+ed),ENG-T3-G01
Tahun 3,English,Grammar,Kata kerja lampau irregular (go→went),ENG-T3-G02
Tahun 3,English,Grammar,Kata nama jamak tidak teratur (child→children),ENG-T3-G03
Tahun 3,English,Grammar,"Kata depan tempat (in, on, under, beside, between)",ENG-T3-G04
Tahun 3,English,Grammar,"Kata hubung (and, but, because, so, or)",ENG-T3-G05
Tahun 3,English,Vocabulary,Sinonim dan antonim mudah,ENG-T3-V01
Tahun 3,Bahasa Melayu,Membaca,Membaca dan memahami petikan prosa,BM-T3-MB01
Tahun 3,Bahasa Melayu,Ejaan,Mengeja perkataan berimbuhan awalan,BM-T3-E01
Tahun 3,Bahasa Melayu,Tatabahasa,"Imbuhan Awalan: ber-, ter-, pe-",BM-T3-T01
Tahun 3,Bahasa Melayu,Tatabahasa,Kata Majmuk Rangkai Kata Bebas,BM-T3-T02
Tahun 3,Bahasa Melayu,Tatabahasa,Jenis Ayat: Ayat Perintah dan Ayat Seruan,BM-T3-T03
Tahun 3,Bahasa Melayu,Tatabahasa,Bentuk Ayat: Ayat Tunggal dan Ayat Majmuk,BM-T3-T04
Tahun 3,Bahasa Melayu,Seni Bahasa,Melafaz dan memahami pantun dua kerat,BM-T3-SB01
Tahun 3,Chinese,Aksara,Aksara Tahun 3 (~300 aksara kumulatif),ZH-T3-A01
Tahun 3,Chinese,Tatabahasa,Kata adjektif – membanding (比),ZH-T3-G01
Tahun 3,Chinese,Tatabahasa,"Penegas masa: 今天,昨天,明天",ZH-T3-G02
Tahun 3,Chinese,Bacaan,Memahami teks deskriptif pendek,ZH-T3-B01
Tahun 3,Chinese,Penulisan,Susun semula ayat mengikut urutan betul,ZH-T3-P01
Tahun 3,Geography,Malaysia,Mengenal 14 negeri Malaysia dan wilayah persekutuan,GEO-T3-MY01
Tahun 3,Geography,Malaysia,Ibu negeri bagi setiap negeri Malaysia,GEO-T3-MY02
Tahun 3,Geography,Malaysia,Mengenal peta Malaysia dan kedudukan negeri,GEO-T3-MY03
Tahun 3,Geography,Asia Tenggara,Negara-negara Asia Tenggara (ASEAN),GEO-T3-AT01
Tahun 3,Geography,Asia Tenggara,"Jiran-jiran Malaysia (Thailand, Singapura, Indonesia, Brunei)",GEO-T3-AT02
Tahun 3,Geography,Dunia,Mengenal 7 benua dunia,GEO-T3-DU01
Tahun 3,Geography,Dunia,"Mengenal lautan dunia (Lautan Hindi, Pasifik, Atlantik)",GEO-T3-DU02
Tahun 3,Geography,Alam Sekitar,"Sumber semula jadi Malaysia: petroleum, getah, sawit, kayu",GEO-T3-AS01
Tahun 3,Sejarah,Sejarah Tempatan,"Mengenal sejarah kawasan tempatan (bandar, kampung)",SJ-T3-ST01
Tahun 3,Sejarah,Kerajaan Awal,"Pengenalan kerajaan Melayu awal: Srivijaya, Langkasuka",SJ-T3-KA01
Tahun 3,Sejarah,Kerajaan Awal,Pengenalan Kesultanan Melayu Melaka,SJ-T3-KA02
Tahun 3,Sejarah,Tokoh,Mengenal tokoh tempatan dan sumbangan mereka,SJ-T3-TK01
Tahun 3,Sejarah,Perpaduan,Konsep perpaduan kaum di Malaysia,SJ-T3-PD01
Tahun 3,Sejarah,Simbol Negara,Rukun Negara – 5 prinsip secara urutan,SJ-T3-SN01
Tahun 4,Matematik,Nombor Bulat,Nilai nombor bulat hingga 100 000,MAT-T4-N01
Tahun 4,Matematik,Nombor Bulat,Operasi bergabung darab dan bahagi,MAT-T4-N02
Tahun 4,Matematik,Pecahan,"Pecahan wajar, tidak wajar, nombor bercampur",MAT-T4-PC01
Tahun 4,Matematik,Pecahan,Penambahan dan penolakan pecahan penyebut sama,MAT-T4-PC02
Tahun 4,Matematik,Perpuluhan,Perpuluhan 1 tempat perpuluhan,MAT-T4-PP01
Tahun 4,Matematik,Perpuluhan,Hubungan perpuluhan dan pecahan (0.5 = 1/2),MAT-T4-PP02
Tahun 4,Matematik,Wang,"Tambah, tolak, darab dan bahagi wang",MAT-T4-W01
Tahun 4,Matematik,Masa,"Tempoh masa: jam, minit, saat",MAT-T4-M01
Tahun 4,Matematik,Perimeter & Luas,Mengira perimeter segiempat dan segi tiga,MAT-T4-PL01
Tahun 4,Matematik,Perimeter & Luas,Mengira luas segiempat tepat dan segiempat sama,MAT-T4-PL02
Tahun 4,Matematik,Data,Membaca dan menafsirkan carta palang berganda,MAT-T4-D01
Tahun 4,Sains,Sains Hayat,"Pemakanan manusia: kumpulan makanan, piramid makanan",SCI-T4-H01
Tahun 4,Sains,Sains Hayat,Sistem pernafasan manusia,SCI-T4-H02
Tahun 4,Sains,Sains Hayat,Adaptasi haiwan terhadap persekitaran,SCI-T4-A01
Tahun 4,Sains,Sains Fizikal,"Sumber tenaga: matahari, air, angin, bahan api",SCI-T4-F01
Tahun 4,Sains,Sains Fizikal,Haba: konduktor dan penebat haba,SCI-T4-H03
Tahun 4,Sains,Sains Bumi,Sumber semula jadi: boleh diperbaharui dan tidak boleh,SCI-T4-E01
Tahun 4,Sains,Kemahiran Proses,"Kaedah saintifik: hipotesis, ujikaji, kesimpulan",SCI-T4-KP01
Tahun 4,English,Reading,Membaca dan memahami teks – fakta dan inferens,ENG-T4-R01
Tahun 4,English,Grammar,"Kata bantu: can, must, should, will, would",ENG-T4-G01
Tahun 4,English,Grammar,"Kata sifat perbandingan: -er, -est",ENG-T4-G02
Tahun 4,English,Grammar,Kata keterangan cara (-ly),ENG-T4-G03
Tahun 4,English,Writing,Menulis perenggan dengan idea tersusun,ENG-T4-W01
Tahun 4,Bahasa Melayu,Membaca,Membaca dan memahami pelbagai jenis teks,BM-T4-MB01
Tahun 4,Bahasa Melayu,Tatabahasa,"Imbuhan Awalan: men-, mem-, meng-, meny-",BM-T4-T01
Tahun 4,Bahasa Melayu,Tatabahasa,Kata Ganda Separa dan Berentak,BM-T4-T02
Tahun 4,Bahasa Melayu,Tatabahasa,Simpulan Bahasa – maksud,BM-T4-T03
Tahun 4,Bahasa Melayu,Penulisan,Mengenal pasti kesilapan ejaan dalam ayat,BM-T4-P01
Tahun 4,Bahasa Melayu,Penulisan,Menulis surat tidak rasmi,BM-T4-P02
Tahun 4,Chinese,Aksara,Aksara Tahun 4 (~400 aksara kumulatif),ZH-T4-A01
Tahun 4,Chinese,Tatabahasa,Ayat 把 (把字句),ZH-T4-G01
Tahun 4,Chinese,Tatabahasa,Ayat pasif menggunakan 被,ZH-T4-G02
Tahun 4,Chinese,Bacaan,Memahami teks naratif,ZH-T4-B01
Tahun 4,Chinese,Idiom,Makna Chengyu asas: 一石二鸟,ZH-T4-I01
Tahun 4,Geography,Malaysia,"Mengenal 14 negeri: lokasi, ibu negeri, lambang",GEO-T4-MY01
Tahun 4,Geography,Malaysia,"Bentuk muka bumi Malaysia: gunung, sungai, pantai, tanah pamah",GEO-T4-MY02
Tahun 4,Geography,Malaysia,Iklim Malaysia: monsun timur laut dan monsun barat daya,GEO-T4-MY03
Tahun 4,Geography,Malaysia,Sumber asli Malaysia dan kepentingannya,GEO-T4-MY04
Tahun 4,Geography,Peta,Membaca skala peta,GEO-T4-PT01
Tahun 4,Geography,Peta,Membaca dan menggunakan grid peta,GEO-T4-PT02
Tahun 4,Geography,Asia Tenggara,Negara-negara ASEAN dan ibu negerinya,GEO-T4-AT01
Tahun 4,Sejarah,Kemahiran Sejarah,Pengertian sejarah dan sumber sejarah,SJ-T4-KS01
Tahun 4,Sejarah,Kemahiran Sejarah,Konsep masa: kronologi dan urutan peristiwa,SJ-T4-KS02
Tahun 4,Sejarah,Tamadun Awal,Tamadun awal di Asia Tenggara,SJ-T4-TA01
Tahun 4,Sejarah,Kerajaan Melayu,"Kerajaan Melayu awal: Kedah Tua, Srivijaya, Langkasuka",SJ-T4-KM01
Tahun 4,Sejarah,Kerajaan Melayu,Kesultanan Melayu Melaka: penubuhan dan pemerintahan,SJ-T4-KM02
Tahun 4,Sejarah,Kerajaan Melayu,Sistem pemerintahan Kesultanan Melaka,SJ-T4-KM03
Tahun 4,Sejarah,Ekonomi,Melaka sebagai pusat perdagangan antarabangsa,SJ-T4-EK01
Tahun 5,Matematik,Nombor Bulat,Nombor bulat hingga 1 juta,MAT-T5-N01
Tahun 5,Matematik,Pecahan,Tambah dan tolak pecahan berlainan penyebut,MAT-T5-PC01
Tahun 5,Matematik,Pecahan,Darab pecahan dengan nombor bulat,MAT-T5-PC02
Tahun 5,Matematik,Perpuluhan,Perpuluhan sehingga 3 tempat perpuluhan,MAT-T5-PP01
Tahun 5,Matematik,Peratusan,Menukar pecahan/perpuluhan kepada peratus,MAT-T5-PE01
Tahun 5,Matematik,Peratusan,Mengira peratusan bagi suatu kuantiti,MAT-T5-PE02
Tahun 5,Matematik,Nisbah,Konsep nisbah dan bentuk termudah,MAT-T5-NS01
Tahun 5,Matematik,Luas & Isipadu,Luas segi tiga,MAT-T5-LI01
Tahun 5,Matematik,Luas & Isipadu,Isipadu kiub dan kuboid,MAT-T5-LI02
Tahun 5,Matematik,Statistik,Mengira min (purata),MAT-T5-ST01
Tahun 5,Matematik,Statistik,Membaca dan menafsir carta garis,MAT-T5-ST02
Tahun 5,Sains,Sains Hayat,Sistem rangka manusia dan fungsinya,SCI-T5-H01
Tahun 5,Sains,Sains Hayat,Sistem penghadaman: organ dan proses,SCI-T5-H02
Tahun 5,Sains,Sains Fizikal,Cahaya: pantulan dan pembiasan,SCI-T5-F01
Tahun 5,Sains,Sains Fizikal,Elektrik: litar siri dan selari,SCI-T5-F02
Tahun 5,Sains,Sains Fizikal,"Mesin mudah: tuil, pulli, satah condong, gear",SCI-T5-F03
Tahun 5,Sains,Sains Bumi,Ekosistem: rantai makanan dan siratan makanan,SCI-T5-E01
Tahun 5,Sains,Sains Bumi,"Pencemaran: jenis, punca dan kesan",SCI-T5-E02
Tahun 5,English,Reading,Membaca dan memahami teks – inferens dan penilaian,ENG-T5-R01
Tahun 5,English,Grammar,Ayat aktif dan ayat pasif,ENG-T5-G01
Tahun 5,English,Grammar,Ucapan cakap ajuk dan cakap pindah,ENG-T5-G02
Tahun 5,English,Grammar,"Kata hubung: although, however, therefore, moreover",ENG-T5-G03
Tahun 5,English,Vocabulary,Sinonim dan antonim peringkat menengah,ENG-T5-V01
Tahun 5,English,Writing,"Menulis karangan berformat: e-mel, laporan, artikel",ENG-T5-W01
